,city_name,latitude,longitude,max temp,humidity,cloudiness,wind speed,country,date
0,Ushuaia,-54.8,-68.3,48.2,81.0,20.0,5.75,AR,1617073417.0
2,Thompson,55.7435,-97.8558,6.8,78.0,90.0,27.63,CA,1617073598.0
3,Butaritari,3.0707,172.7902,81.66,78.0,61.0,16.44,KI,1617073598.0
4,Busselton,-33.65,115.3333,81.0,64.0,20.0,3.0,AU,1617073599.0
6,Mataura,-46.1927,168.8643,64.0,77.0,99.0,3.0,NZ,1617073599.0
7,Punta Arenas,-53.15,-70.9167,46.4,93.0,75.0,2.3,CL,1617073582.0
8,Barrow,71.2906,-156.7887,-2.2,71.0,1.0,27.63,US,1617073600.0
9,Mar del Plata,-38.0023,-57.5575,62.01,93.0,20.0,6.42,AR,1617073371.0
10,Bluff,-46.6,168.3333,64.0,77.0,95.0,3.0,NZ,1617073600.0
11,Jamestown,42.097,-79.2353,35.6,60.0,1.0,6.55,US,1617073434.0
12,Kahului,20.8947,-156.47,78.8,69.0,40.0,12.66,US,1617073601.0
13,Kutum,14.2,24.6667,58.5,13.0,0.0,9.46,SD,1617073601.0
14,High Prairie,55.4334,-116.4858,21.2,49.0,12.0,6.91,CA,1617073513.0
15,Puerto Ayora,-0.7393,-90.3518,78.01,89.0,29.0,6.08,EC,1617073423.0
16,Mehamn,71.0357,27.8492,33.8,86.0,75.0,8.05,NO,1617073506.0
17,Rikitea,-23.1203,-134.9692,78.84,71.0,1.0,16.28,PF,1617073581.0
18,Upernavik,72.7868,-56.1549,-2.56,70.0,98.0,7.29,GL,1617073422.0
19,San Quintín,30.4833,-115.95,58.87,84.0,57.0,5.88,MX,1617073602.0
20,Micheweni,-4.9667,39.8333,79.92,82.0,96.0,6.06,TZ,1617073602.0
21,Itoman,26.1247,127.6694,78.8,94.0,75.0,10.36,JP,1617073603.0
22,Oranjemund,-28.55,16.4333,58.91,88.0,0.0,4.29,NA,1617073603.0
23,Hermanus,-34.4187,19.2345,59.0,86.0,65.0,1.99,ZA,1617073604.0
25,Codrington,-38.2667,141.9667,67.33,62.0,70.0,9.86,AU,1617073604.0
26,Katsuura,35.1333,140.3,72.0,60.0,75.0,10.36,JP,1617073605.0
27,Cidreira,-30.1811,-50.2056,66.74,73.0,37.0,11.74,BR,1617073605.0
29,Kavieng,-2.5744,150.7967,85.86,67.0,100.0,11.03,PG,1617073605.0
30,Kaeo,-35.1,173.7833,69.01,93.0,88.0,7.0,NZ,1617073606.0
31,Chopovychi,50.8332,28.9533,36.64,89.0,53.0,4.16,UA,1617073606.0
33,Cape Town,-33.9258,18.4232,63.0,94.0,75.0,11.5,ZA,1617073383.0
34,Yellowknife,62.456,-114.3525,1.4,46.0,1.0,6.91,CA,1617073607.0
35,Atmakūr,15.8833,78.5833,88.54,33.0,67.0,9.73,IN,1617073607.0
36,Kota Kinabalu,5.9749,116.0724,86.0,84.0,20.0,3.44,MY,1617073608.0
37,Coahuayana Viejo,18.7333,-103.6833,71.02,69.0,98.0,2.46,MX,1617073608.0
38,Canutama,-6.5339,-64.3831,73.17,96.0,90.0,2.06,BR,1617073608.0
39,São Filipe,14.8961,-24.4956,69.55,71.0,37.0,8.41,CV,1617073609.0
40,Oudtshoorn,-33.5907,22.2014,57.2,88.0,0.0,2.3,ZA,1617073609.0
42,San Ramon,37.7799,-121.978,63.0,23.0,1.0,5.75,US,1617073556.0
43,Port Elizabeth,-33.918,25.5701,66.2,88.0,0.0,13.8,ZA,1617073610.0
44,Nanortalik,60.1432,-45.2371,28.69,73.0,100.0,15.35,GL,1617073610.0
45,Beruwala,6.4788,79.9828,77.11,79.0,100.0,5.23,LK,1617073611.0
46,Meridian,43.6121,-116.3915,41.0,33.0,20.0,9.22,US,1617073591.0
47,Atuona,-9.8,-139.0333,81.0,79.0,17.0,19.51,PF,1617073416.0
49,Sitka,57.0531,-135.33,39.2,100.0,90.0,5.75,US,1617073611.0
50,Heihe,50.2441,127.4902,41.0,52.0,40.0,15.66,CN,1617073612.0
51,Praia da Vitória,38.7333,-27.0667,59.0,94.0,20.0,4.59,PT,1617073612.0
52,Saint-Augustin,51.226,-58.6502,31.21,95.0,100.0,15.08,CA,1617073612.0
53,Hithadhoo,-0.6,73.0833,83.79,74.0,100.0,23.02,MV,1617073613.0
54,Aasiaat,68.7098,-52.8699,7.92,80.0,100.0,12.64,GL,1617073439.0
55,Vazhiny,60.9644,34.0222,37.65,96.0,100.0,14.85,RU,1617073613.0
56,Faya,18.3851,42.4509,55.4,38.0,0.0,4.61,SA,1617073614.0
57,Dikson,73.5069,80.5464,-24.11,98.0,77.0,7.52,RU,1617073471.0
58,Ancud,-41.8697,-73.8203,57.0,87.0,0.0,1.14,CL,1617073614.0
59,Koutiala,12.3917,-5.4642,79.52,10.0,0.0,7.43,ML,1617073615.0
61,Bambous Virieux,-20.3428,57.7575,80.01,94.0,20.0,8.05,MU,1617073615.0
62,Kachug,53.9606,105.8817,32.99,95.0,100.0,1.61,RU,1617073615.0
63,Evensk,61.95,159.2333,12.83,67.0,91.0,2.62,RU,1617073496.0
64,Pevek,69.7008,170.3133,-1.25,89.0,100.0,4.03,RU,1617073616.0
65,Bethel,41.3712,-73.414,39.2,48.0,1.0,0.36,US,1617073437.0
66,Bragança,-1.0536,-46.7656,73.65,98.0,100.0,0.16,BR,1617073617.0
67,Port Alfred,-33.5906,26.891,67.32,89.0,24.0,18.37,ZA,1617073617.0
68,Ribeira Grande,38.5167,-28.7,57.2,72.0,75.0,21.85,PT,1617073617.0
69,Chui,-33.6971,-53.4616,67.15,85.0,85.0,11.68,UY,1617073618.0
70,Flinders,-34.5833,150.8552,73.0,49.0,0.0,6.91,AU,1617073618.0
71,Kloulklubed,7.0419,134.2556,86.0,70.0,75.0,8.05,PW,1617073618.0
72,Carnarvon,-24.8667,113.6333,89.6,55.0,58.0,10.36,AU,1617073619.0
73,Bengkulu,-3.8004,102.2655,80.35,81.0,55.0,0.22,ID,1617073619.0
75,Mayo,38.8876,-76.5119,46.0,70.0,0.0,1.72,US,1617073620.0
76,Zeya,53.75,127.2667,38.37,62.0,17.0,6.11,RU,1617073620.0
77,Broome,42.2506,-75.833,34.0,60.0,1.0,1.97,US,1617073621.0
79,Kingman,35.1894,-114.053,66.2,10.0,1.0,12.66,US,1617073621.0
80,Yar-Sale,66.8333,70.8333,3.79,96.0,91.0,10.83,RU,1617073621.0
81,Kapaa,22.0752,-159.319,73.4,88.0,90.0,12.66,US,1617073622.0
82,Vaini,-21.2,-175.2,82.4,83.0,75.0,8.05,TO,1617073622.0
83,Boddam,57.4667,-1.7833,55.0,82.0,0.0,5.75,GB,1617073623.0
84,Verkhnyaya Inta,65.9811,60.3094,32.34,98.0,100.0,14.38,RU,1617073623.0
85,Mae Chan,20.1467,99.8526,77.0,73.0,40.0,3.44,TH,1617073623.0
